stabb,year,milexp,totalpop,milpers,urbanpop
AND,1999,0.0,75.0,0.0,0.0
AND,2000,0.0,78.0,0.0,0.0
AND,2001,0.0,66.0,0.0,0.0
AND,2002,0.0,66.0,0.0,0.0
AND,2003,0.0,70.0,0.0,0.0
AND,2004,0.0,75.0,0.0,0.0
AND,2005,0.0,79.0,0.0,0.0
AND,2006,0.0,80.0,0.0,0.0
AND,2007,0.0,82.0,0.0,0.0
ANG,1975,146004.0,6123.0,30.0,695.0
ANG,1976,0.0,6277.0,35.0,733.0
ANG,1977,0.0,6450.0,47.0,772.0
ANG,1978,0.0,6636.0,47.0,814.0
